Session_ID,Station_ID,Station_Name,City,State,Location_Type,Charger_ID,Charger_Type,Connector_Type,Power_Rating_kW,Vehicle_Type,Vehicle_Model,Session_Start,Session_End,Charging_Duration_Min,Energy_Delivered_kWh,Idle_Duration_Min,Session_Status,Start_SOC_Percent,End_SOC_Percent,Charging_Cost,Price_per_kWh,Payment_Method,Customer_Type,Peak_Hour_Flag,Day_Type,Month,Year,Weather_Condition,Temperature_C
SESS001612,STN0109,Mumbai Fast Charge Center,Mumbai,Maharashtra,,CHG00031,DC Ultra Fast,GB/T,7.2,2-Wheeler,Tata Nexon EV,2022-10-13 01:49:08,13/10/2022 02:55,66.0,3.57,0.0,COMPLETED,27.1,,50.69,14.2,Cash,Commercial,No,Weekday,October,2022,Foggy,
SESS001504,STN0107,Hyderabad Charge Point,Hyderabad,Telangana,Office,CHG00498,DC Ultra Fast,GB/T,3.3,Car,,22/09/2024 21:46,22/09/2024 22:41,55.0,34.06,,Cancelled,22.4,,474.46,,App,Individual,N,Holiday,September,2024,Humid,26.0
SESS000977,STN0033,Kolkata EV Hub,Kolkata,West Bengal,,CHG00324,DC fast,ccs2,7.2,SUV,,13-03-2025 20:15:09,13/03/2025 20:49,34.0,16.59,5.0,COMPLETED,11.6,150.0,199.08,12.0,Card,Individual,Y,Holiday,March,2025,Humid,
SESS000894,STN0215,Patna Fast Charge Center,Patna,bihar,Office,CHG00101,,CHAdeMO,120.0,Car,Tata Tiago EV,09-04-2024 15:03:51,2024-04-09 15:17:51,14.0,39.82,5.0,Failed,,150.0,775.69,19.48,Card,,,Weekday,April,2024,Sunny,35.4
SESS000484,STN0045,Noida Fast Charge Center,Noida,Uttar Pradesh,highway,CHG00290,,CCS,,2-Wheeler,Ather 450X,29-05-2023 05:07:20,29/05/2023 06:08,61.0,0.18,0.0,completed,,98.6,3.49,19.38,upi,,no,Weekend,May,2023,Foggy,31.2
SESS000133,STN0164,Pune Charge Point,Pune,Maharashtra,Highway,CHG00384,DC Fast,CCS,,Car,BYD Atto 3,09-10-2022 10:56:12,09-10-2022 12:32:12,96.0,20.57,0.0,completed,-5.0,86.4,388.98,18.91,,,yes,Weekday,October,2022,Foggy,29.4
SESS001810,STN0203,Delhi Charge Point,Delhi,Delhi,highway,CHG00566,ac,,30.0,,,2025-09-13 14:19:55,,33.0,33.01,,completed,-5.0,150.0,316.24,9.58,Card,Fleet,no,Weekday,September,2025,Foggy,30.5
SESS001281,STN0146,Pune Charge Point,Pune,Maharashtra,highway,CHG00576,DC Fast,GB/T,150.0,3-Wheeler,Kia EV6,17-11-2023 04:24:03,2023-11-17 05:27:03,63.0,24.39,15.0,Completed,,89.3,470.24,,Cash,,N,Holiday,November,2023,Rainy,
SESS000179,STN0044,Surat Power Station,Surat,Gujarat,highway,CHG00490,DC Fast,ccs2,7.2,Car,,16-04-2023 13:17:44,16/04/2023 13:46,29.0,12.89,26.0,completed,,150.0,156.1,12.11,,Fleet,Y,Holiday,April,2023,,18.1
SESS001569,STN0087,CHANDIGARH EV HUB,chandigarh,Punjab,,CHG00437,DC fast,Type 2,120.0,2 Wheeler,TVS iQube,2023-09-23 17:48:40,2023-09-23 18:22:40,34.0,14.03,0.0,COMPLETED,20.3,85.7,220.69,15.73,UPI,Fleet,No,Weekend,September,2023,Sunny,27.4
SESS001651,STN0048,Delhi Power Station,Delhi,Delhi,Hotel,CHG00083,DC fast,CCS,150.0,2 Wheeler,Kia EV6,20-03-2025 05:28:53,20/03/2025 06:41,,10.2,,Cancelled,7.5,150.0,194.62,19.08,Cash,Fleet,No,Weekend,March,2025,Rainy,26.2
SESS001687,STN0092,Mumbai Power Station,Mumbai,Maharashtra,highway,CHG00159,,,,,Kia EV6,01/03/2022 06:12,01/03/2022 06:47,35.0,15.83,,completed,-5.0,,133.61,8.44,App,Commercial,No,Weekend,March,2022,Sunny,22.0
SESS000963,STN0116,Indore Fast Charge Center,Indore,Madhya Pradesh,Residential,CHG00278,DC Fast,,,3-Wheeler,BYD Atto 3,2025-07-19 02:16:42,19-07-2025 03:26:42,70.0,12.28,0.0,COMPLETED,-5.0,150.0,186.53,15.19,Cash,Fleet,N,Holiday,July,2025,Rainy,41.9
SESS001416,STN0166,Patna Charge Point,Patna,Bihar,Office,CHG00877,AC,Type 2,50.0,2-Wheeler,,31/08/2022 04:52,31/08/2022 04:51,-1.0,30.1,0.0,Failed,105.0,,588.76,19.56,Cash,Commercial,no,Weekend,August,2022,Sunny,25.6
SESS000293,STN0235,Kolkata Fast Charge Center,Kolkata,West Bengal,,CHG00763,ac,CHAdeMO,,,MG ZS EV,14/12/2023 06:24,2023-12-14 07:05:33,41.0,15.6,,COMPLETED,-5.0,150.0,310.13,19.88,,Individual,yes,Weekday,December,2023,Cloudy,28.9
SESS000363,STN0042,Surat Power Station,Surat,Gujarat,highway,CHG00242,,CHAdeMO,7.2,,Citroen eC3,28-07-2022 04:22:05,2022-07-28 04:23:05,1.0,0.72,0.0,COMPLETED,-5.0,150.0,8.34,11.58,UPI,Commercial,Y,Holiday,July,2022,,29.0
SESS000712,STN0215,Bhopal Fast Charge Center,Bhopal,Madhya Pradesh,Mall,CHG00646,,Type 2,60.0,3-Wheeler,Kia EV6,2025-06-26 04:53:14,2025-06-26 06:08:14,75.0,15.59,,completed,105.0,150.0,,19.64,App,Commercial,yes,Holiday,June,2025,,
SESS001107,STN0245,Delhi Charge Point,Delhi,Delhi,Office,CHG00492,,,,SUV,Citroen eC3,2025-04-24 18:03:49,24-04-2025 18:11:49,8.0,38.82,13.0,completed,,76.2,658.78,16.97,Wallet,,yes,Weekday,April,2025,,25.9
SESS001645,STN0097,Mumbai Power Station,Mumbai,Maharashtra,Parking,CHG00465,,CCS,150.0,2-Wheeler,Mahindra XUV400,22-01-2025 17:10:14,22/01/2025 17:43,33.0,4.87,,Completed,,,101.1,20.76,Wallet,Fleet,N,Weekday,January,2025,,35.1
SESS000665,STN0157,Ahmedabad EV Hub,Ahmedabad,Gujarat,highway,CHG00221,AC,Type 2,,Car,BYD Atto 3,2021-03-24 01:17:38,24/03/2021 01:25,8.0,30.89,0.0,completed,105.0,150.0,621.51,20.12,Card,Fleet,,Weekend,March,2021,Rainy,28.4
SESS001034,STN0036,Ahmedabad Charge Point,Ahmedabad,Gujarat,Office,CHG00889,,GB/T,120.0,3-Wheeler,Kia EV6,08-10-2022 22:40:31,08-10-2022 23:22:31,42.0,29.4,,completed,,,531.26,18.07,App,Individual,Yes,Weekend,October,2022,Foggy,17.2
SESS000676,STN0202,Hyderabad Fast Charge Center,Hyderabad,Telangana,Mall,CHG00434,DC Ultra Fast,Type 2,30.0,SUV,Kia EV6,13/04/2024 12:27,13/04/2024 13:40,73.0,27.89,18.0,completed,6.1,,363.41,13.03,Wallet,Commercial,yes,Weekend,April,2024,Sunny,27.3
SESS000965,STN0136,Noida EV Hub,Noida,Uttar Pradesh,Mall,CHG00453,DC Ultra Fast,CHAdeMO,50.0,Bus,Hyundai Kona,21/12/2025 06:39,21-12-2025 07:19:08,40.0,22.7,,completed,-5.0,,298.05,13.13,Card,Fleet,yes,Weekday,December,2025,,27.0
SESS000203,STN0119,DELHI POWER STATION,Delhi,Delhi,Office,CHG00599,DC fast,GB/T,22.0,2-Wheeler,Tata Tiago EV,06-07-2022 03:22:30,2022-07-06 04:21:30,59.0,19.18,,Failed,5.7,150.0,313.59,16.35,upi,,Yes,Weekday,July,2022,Foggy,21.2
SESS001459,STN0188,Mumbai Fast Charge Center,Mumbai,Maharashtra,Highway,CHG00020,ac,ccs2,3.3,,Hyundai Kona,29/11/2023 23:51,30/11/2023 00:30,39.0,30.17,17.0,COMPLETED,105.0,62.1,363.85,12.06,Wallet,Individual,N,Weekend,November,2023,Humid,21.8
SESS001352,STN0230,Mumbai EV Hub,Mumbai,Maharashtra,Office,CHG00050,AC,,30.0,SUV,Ola S1 Pro,2024-05-29 00:09:01,29-05-2024 00:33:01,,20.66,0.0,COMPLETED,,66.9,172.92,8.37,UPI,Commercial,N,Holiday,May,2024,Humid,19.0
SESS000034,STN0001,Ahmedabad EV Hub,Ahmedabad,Gujarat,Office,CHG00580,DC Fast,Type 2,60.0,2 Wheeler,Citroen eC3,2022-09-05 03:15:30,05-09-2022 04:00:30,45.0,31.54,,COMPLETED,21.3,,410.02,13.0,App,Individual,yes,Holiday,September,2022,Humid,29.6
SESS001511,STN0235,Patna Power Station,Patna,Bihar,Hotel,CHG00680,DC Fast,,30.0,SUV,TVS iQube,16/07/2024 22:39,16-07-2024 23:17:45,38.0,39.08,7.0,Cancelled,-5.0,150.0,537.35,13.75,,Commercial,Yes,Weekday,July,2024,Rainy,
SESS001415,STN0071,Hyderabad Power Station,Hyderabad,Telangana,Parking,CHG00672,DC Fast,GB/T,,,,2024-08-14 22:59:19,2024-08-14 23:29:19,30.0,17.55,0.0,Cancelled,,,356.44,,Wallet,,no,Holiday,August,2024,Cloudy,25.4
SESS000895,STN0088,Chandigarh Fast Charge Center,Chandigarh,Punjab,Mall,CHG00671,DC Ultra Fast,,150.0,,Citroen eC3,21/08/2021 23:28,,47.0,10.27,0.0,Cancelled,105.0,94.2,190.61,18.56,upi,Commercial,No,Holiday,August,2021,Cloudy,31.5
SESS000767,STN0101,Patna Charge Point,Patna,Bihar,Parking,CHG00227,,,3.3,2 Wheeler,Tata Tiago EV,07-01-2024 15:28:46,2024-01-07 16:04:46,36.0,44.52,0.0,Failed,30.1,150.0,460.34,10.34,,Commercial,no,Weekend,January,2024,Foggy,17.9
SESS000396,STN0215,Delhi Power Station,delhi,Delhi,Hotel,CHG00052,DC fast,GB/T,,,MG ZS EV,2025-09-18 14:04:07,18-09-2025 15:03:07,59.0,30.14,0.0,Cancelled,105.0,95.0,442.15,14.67,App,Individual,No,Weekend,September,2025,Sunny,33.2
SESS001036,STN0220,Pune Charge Point,Pune,Maharashtra,,CHG00513,ac,Type 2,7.2,SUV,Kia EV6,2024-06-01 08:42:09,01/06/2024 09:39,57.0,8.87,2.0,COMPLETED,105.0,,117.0,13.19,Card,Fleet,Yes,Holiday,June,2024,Humid,25.3
SESS000087,STN0247,jaipur Power Station,jaipur,RAJASTHAN,Parking,CHG00314,DC Fast,GB/T,30.0,SUV,,22-04-2022 23:21:32,22-04-2022 23:53:32,32.0,20.09,11.0,Completed,105.0,,277.24,13.8,Card,Fleet,Yes,Holiday,April,2022,Sunny,33.8
SESS000600,STN0129,Chennai Power Station,Chennai,Tamil Nadu,Highway,CHG00040,ac,Type 2,7.2,Bus,Mahindra XUV400,16/09/2025 23:42,17-09-2025 00:51:07,69.0,21.07,,Failed,,91.1,255.79,12.14,App,,N,Weekday,September,2025,Rainy,32.6
SESS001874,STN0004,Noida EV Hub,Noida,Uttar Pradesh,Residential,CHG00388,DC fast,GB/T,60.0,3-Wheeler,Ather 450X,01/08/2024 04:26,01-08-2024 05:01:56,35.0,3.98,0.0,Completed,-5.0,150.0,34.55,8.68,upi,,yes,Holiday,August,2024,,25.8
SESS001284,STN0062,Ahmedabad EV Hub,Ahmedabad,Gujarat,Parking,CHG00518,DC Fast,ccs2,22.0,2 Wheeler,Tata Nexon EV,02/12/2025 18:58,02/12/2025 19:57,59.0,0.1,24.0,COMPLETED,105.0,,1.54,15.44,upi,Fleet,yes,Weekday,December,2025,Foggy,32.2
SESS000167,STN0074,Delhi Charge Point,Delhi,Delhi,Hotel,CHG00586,DC Fast,GB/T,120.0,Car,Bajaj Chetak,24-04-2025 16:23:32,2025-04-24 17:09:32,46.0,41.66,0.0,completed,-5.0,75.1,719.47,17.27,Card,Commercial,N,Weekend,April,2025,Cloudy,30.9
SESS000371,STN0198,Jaipur Fast Charge Center,Jaipur,Rajasthan,Highway,CHG00067,DC Fast,GB/T,150.0,2-Wheeler,Ola S1 Pro,18-09-2024 14:00:51,18/09/2024 14:15,15.0,37.08,,completed,-5.0,81.9,678.19,18.29,Cash,,,Weekday,September,2024,Humid,30.3
SESS000904,STN0211,Bhopal Fast Charge Center,Bhopal,MADHYA PRADESH,Parking,CHG00103,DC Ultra Fast,ccs2,150.0,SUV,Kia EV6,2023-08-26 08:17:00,2023-08-26 09:11:00,54.0,7.96,10.0,Completed,105.0,150.0,135.64,17.04,,Individual,Yes,Weekday,August,2023,Foggy,28.2
SESS000464,STN0117,Bengaluru Charge Point,bengaluru,Karnataka,Highway,CHG00821,,ccs2,30.0,SUV,Tata Tiago EV,26/02/2024 03:38,26/02/2024 04:18,40.0,25.37,0.0,Cancelled,105.0,,325.5,12.83,UPI,,no,Weekday,February,2024,Sunny,19.4
SESS000127,STN0165,Patna Charge Point,Patna,Bihar,,CHG00229,,CCS,7.2,2 Wheeler,Citroen eC3,31/03/2024 20:27,2024-03-31 20:59:32,32.0,18.63,0.0,completed,105.0,150.0,375.02,20.13,upi,Commercial,No,Weekend,March,2024,Sunny,31.0
SESS000400,STN0225,Hyderabad Charge Point,Hyderabad,Telangana,Hotel,CHG00053,DC Fast,CCS,22.0,2 Wheeler,BYD Atto 3,2022-04-10 07:07:16,10-04-2022 07:23:16,16.0,23.59,,completed,,,398.91,16.91,UPI,Fleet,N,Holiday,April,2022,Foggy,23.6
SESS001633,STN0170,Mumbai Power Station,  Mumbai ,MAHARASHTRA,Mall,CHG00642,ac,ccs2,22.0,Car,Hyundai Kona,08-06-2025 02:38:45,,13.0,25.04,0.0,Completed,25.1,78.3,362.33,14.47,App,,Y,Weekday,June,2025,,30.1
SESS001624,STN0152,Chennai Fast Charge Center,Chennai,Tamil Nadu,Highway,CHG00616,ac,ccs2,,2-Wheeler,MG ZS EV,2023-01-14 04:58:12,2023-01-14 05:37:12,39.0,19.48,0.0,completed,17.2,,,8.93,App,,no,Weekend,January,2023,Humid,25.8
SESS000357,STN0219,Mumbai Power Station,Mumbai,Maharashtra,Office,CHG00171,,GB/T,120.0,Bus,Citroen eC3,07/04/2021 01:32,07-04-2021 02:45:57,73.0,29.3,,completed,30.3,150.0,486.67,16.61,App,Commercial,No,Weekend,April,2021,Sunny,28.4
SESS000662,STN0148,Noida EV Hub,Noida,Uttar Pradesh,Parking,CHG00754,DC Fast,CCS,7.2,Bus,Ather 450X,2021-08-31 18:23:05,31-08-2021 19:17:05,54.0,24.93,15.0,Completed,-5.0,-10.0,404.36,16.22,Wallet,Individual,Yes,Weekday,August,2021,,23.5
SESS000052,STN0228,Mumbai Fast Charge Center,Mumbai,Maharashtra,highway,CHG00612,DC Fast,,120.0,Car,,25-01-2022 20:10:56,2022-01-25 21:04:56,54.0,16.37,0.0,Completed,105.0,81.1,239.17,14.61,upi,Commercial,no,Holiday,January,2022,,23.7
SESS000393,STN0157,Hyderabad Power Station,Hyderabad,Telangana,,CHG00101,,CCS,50.0,3-Wheeler,,02-12-2023 18:01:48,2023-12-02 18:16:48,15.0,19.51,0.0,Completed,105.0,150.0,333.23,,Card,,no,Holiday,December,2023,Humid,41.8
SESS001018,STN0087,Kochi Fast Charge Center,Kochi,Kerala,,CHG00109,ac,Type 2,7.2,SUV,Mahindra XUV400,2023-06-13 16:54:30,13-06-2023 17:29:30,35.0,14.05,,COMPLETED,-5.0,,212.44,15.12,,Individual,,Weekend,June,2023,Cloudy,24.1
SESS000681,STN0142,  Chennai EV Hub ,Chennai,Tamil Nadu,highway,CHG00297,AC,CCS,120.0,SUV,Kia EV6,23/05/2023 22:21,23/05/2023 21:23,-58.0,30.21,0.0,Completed,105.0,73.1,477.92,15.82,App,Commercial,yes,Weekday,May,2023,Humid,34.6
SESS000532,STN0206,Lucknow EV Hub,Lucknow,Uttar Pradesh,,CHG00726,ac,GB/T,60.0,Car,,2024-08-01 17:23:47,01/08/2024 18:15,52.0,26.44,,completed,32.9,150.0,401.36,15.18,App,Individual,,Holiday,August,2024,Humid,
SESS000048,STN0204,Chennai EV Hub,Chennai,Tamil Nadu,Hotel,CHG00591,DC Ultra Fast,CHAdeMO,,3-Wheeler,Citroen eC3,29-06-2022 11:25:12,2022-06-29 11:57:12,32.0,18.28,,COMPLETED,-5.0,150.0,153.92,8.42,,Commercial,,Weekend,June,2022,,23.2
SESS000439,STN0052,Indore Fast Charge Center,Indore,Madhya Pradesh,Mall,CHG00488,AC,ccs2,,Bus,Ola S1 Pro,16/01/2022 23:25,16/01/2022 23:32,7.0,18.4,,Completed,31.2,150.0,395.42,21.49,,Individual,N,Weekend,January,2022,Sunny,33.2
SESS001457,STN0231,HYDERABAD CHARGE POINT,Hyderabad,Telangana,Parking,CHG00620,DC Ultra Fast,CCS,,3-Wheeler,MG ZS EV,20/03/2021 07:48,20-03-2021 08:54:24,,11.47,,COMPLETED,,97.5,160.12,,Cash,Fleet,No,Weekday,March,2021,,37.4
SESS001938,STN0061,Lucknow Power Station,Lucknow,UTTAR PRADESH,Residential,CHG00386,,,60.0,,,24-02-2024 01:22:35,24-02-2024 01:37:35,15.0,18.6,,Completed,-5.0,150.0,317.87,17.09,UPI,Individual,yes,Weekday,February,2024,Sunny,36.2
SESS000270,STN0239,Lucknow Fast Charge Center,Lucknow,Uttar Pradesh,Highway,CHG00312,,CCS,120.0,Bus,Tata Nexon EV,2024-10-29 22:38:29,29/10/2024 23:18,40.0,19.18,0.0,Cancelled,-5.0,92.8,226.13,11.79,Card,Fleet,N,Holiday,October,2024,Foggy,23.7
SESS000903,STN0211,Pune Fast Charge Center,Pune,Maharashtra,,CHG00840,DC Fast,Type 2,,SUV,Hyundai Kona,2025-01-19 17:34:00,19/01/2025 18:03,29.0,15.17,,Cancelled,30.3,150.0,293.08,19.32,Wallet,Commercial,N,Holiday,January,2025,Sunny,20.8
SESS001157,STN0205,Noida EV Hub,Noida,Uttar Pradesh,highway,CHG00241,AC,CHAdeMO,50.0,,TVS iQube,20/10/2022 11:34,20/10/2022 12:31,57.0,34.42,,completed,-5.0,150.0,570.0,16.56,UPI,Commercial,no,Weekday,October,2022,Rainy,
SESS001001,STN0186,mumbai Fast Charge Center,mumbai,Maharashtra,Mall,CHG00794,DC Ultra Fast,Type 2,150.0,Bus,TVS iQube,25-12-2022 08:35:10,25-12-2022 08:36:10,1.0,18.86,10.0,Completed,,62.6,242.54,12.86,Wallet,Commercial,no,Holiday,December,2022,Rainy,28.5
SESS001842,STN0041,PUNE EV HUB,Pune,Maharashtra,Hotel,CHG00440,,Type 2,60.0,Car,TVS iQube,05-07-2021 00:47:04,05/07/2021 01:17,30.0,27.69,,completed,,,331.17,11.96,upi,Fleet,yes,Holiday,July,2021,Humid,37.8
SESS001799,STN0057,Kolkata Fast Charge Center,Kolkata,West Bengal,Hotel,CHG00277,AC,CCS,120.0,SUV,,19-10-2022 02:52:49,19/10/2022 04:12,80.0,38.2,0.0,Failed,,150.0,776.99,20.34,upi,Commercial,no,Holiday,October,2022,,33.0
SESS001221,STN0087,Patna Fast Charge Center,Patna,Bihar,Mall,CHG00759,DC Fast,,150.0,Bus,MG ZS EV,2021-01-14 10:03:23,14-01-2021 11:09:23,66.0,14.69,1.0,Failed,,98.4,,14.72,UPI,,Yes,Weekday,January,2021,,28.2
SESS000799,STN0191,Indore Charge Point,Indore,Madhya Pradesh,Office,CHG00047,,GB/T,120.0,3-Wheeler,Bajaj Chetak,2022-10-25 20:26:03,25-10-2022 21:19:03,53.0,19.67,,COMPLETED,-5.0,,283.64,14.42,Cash,Fleet,,Weekend,October,2022,Rainy,22.2
SESS000417,STN0170,Noida Fast Charge Center,Noida,  Uttar Pradesh ,Highway,CHG00877,,GB/T,50.0,Bus,Hyundai Kona,2023-10-10 08:45:00,10-10-2023 09:46:00,61.0,11.03,0.0,completed,105.0,150.0,193.8,17.57,Wallet,,yes,Holiday,October,2023,,32.6
SESS001628,STN0192,Bengaluru Fast Charge Center,Bengaluru,Karnataka,Highway,CHG00838,AC,CHAdeMO,60.0,SUV,Kia EV6,09/12/2023 21:49,09/12/2023 22:02,13.0,16.23,0.0,completed,10.7,150.0,198.49,12.23,upi,Commercial,No,Weekday,December,2023,Rainy,45.7
SESS001372,STN0043,Mumbai Fast Charge Center,Mumbai,Maharashtra,Office,CHG00468,DC Fast,GB/T,120.0,3-Wheeler,MG ZS EV,22-07-2021 13:35:36,22/07/2021 14:08,33.0,11.04,0.0,COMPLETED,,150.0,199.16,18.04,UPI,,No,Weekend,July,2021,Rainy,25.5
SESS000218,STN0200,Pune Fast Charge Center,Pune,Maharashtra,Highway,CHG00854,DC fast,GB/T,30.0,2 Wheeler,Mahindra XUV400,20-12-2022 14:18:07,2022-12-20 14:42:07,24.0,0.1,,Failed,,,1.75,17.53,App,Fleet,,Weekend,December,2022,Sunny,33.3
SESS001077,STN0226,Ahmedabad Power Station,Ahmedabad,Gujarat,highway,CHG00205,AC,Type 2,22.0,2-Wheeler,Tata Tiago EV,23/04/2022 03:28,23-04-2022 04:30:48,62.0,19.3,0.0,COMPLETED,105.0,64.6,354.54,18.37,Card,,,Weekend,April,2022,Cloudy,29.4
SESS000813,STN0200,Surat Charge Point,Surat,Gujarat,Residential,CHG00754,AC,CHAdeMO,,Bus,,2025-05-27 17:06:18,27-05-2025 18:12:18,66.0,,,Cancelled,105.0,150.0,,15.68,Card,Commercial,N,Weekday,May,2025,,28.1
SESS001174,STN0161,Chennai Power Station,Chennai,TAMIL NADU,Hotel,CHG00640,DC Ultra Fast,Type 2,60.0,SUV,MG ZS EV,01-04-2022 19:03:36,01-04-2022 19:33:36,30.0,17.22,22.0,Failed,105.0,96.9,194.76,11.31,upi,Individual,no,Holiday,April,2022,Rainy,26.2
SESS001287,STN0240,Chandigarh EV Hub,Chandigarh,Punjab,highway,CHG00181,,GB/T,50.0,Bus,Mahindra XUV400,15-03-2024 00:08:44,15-03-2024 01:14:44,66.0,30.23,0.0,completed,29.8,21.8,335.25,11.09,,Fleet,no,Weekday,March,2024,Humid,
SESS000837,STN0235,Bengaluru EV Hub,Bengaluru,Karnataka,Parking,CHG00628,ac,CCS,3.3,3-Wheeler,Mahindra XUV400,28-03-2024 17:08:27,28/03/2024 18:18,70.0,26.27,,Cancelled,105.0,150.0,399.3,15.2,upi,Commercial,no,Weekday,March,2024,,31.0
SESS001085,STN0044,Kolkata Power Station,Kolkata,West Bengal,Parking,CHG00625,AC,CCS,150.0,2 Wheeler,BYD Atto 3,05/06/2021 00:56,05/06/2021 01:23,27.0,15.32,22.0,Completed,105.0,150.0,286.02,18.67,Card,,No,Weekday,June,2021,Sunny,30.6
SESS000116,STN0090,gurugram Power Station,gurugram,HARYANA,Residential,CHG00157,DC Fast,,3.3,2-Wheeler,Kia EV6,2022-03-07 18:26:22,2022-03-07 19:01:22,35.0,28.4,,COMPLETED,105.0,150.0,595.83,20.98,UPI,Commercial,no,Weekday,March,2022,Cloudy,19.6
SESS001394,STN0023,Mumbai EV Hub,Mumbai,Maharashtra,Hotel,CHG00336,DC fast,CCS,120.0,2-Wheeler,BYD Atto 3,17/10/2021 08:17,17-10-2021 08:18:21,1.0,49.02,0.0,Cancelled,-5.0,150.0,547.55,11.17,App,Individual,No,Weekend,October,2021,Rainy,28.0
SESS000157,STN0048,Patna Charge Point,Patna,Bihar,Parking,CHG00399,DC Ultra Fast,,50.0,3-Wheeler,Mahindra XUV400,2023-05-21 21:53:10,21-05-2023 22:17:10,24.0,19.54,2.0,COMPLETED,15.6,86.8,394.32,20.18,Wallet,Commercial,yes,Weekend,May,2023,,29.6
SESS001753,STN0178,indore Charge Point,indore,Madhya Pradesh,Hotel,CHG00726,,,150.0,2-Wheeler,Citroen eC3,27-01-2024 17:37:49,,65.0,9.56,28.0,Cancelled,-5.0,,205.25,21.47,upi,Individual,Yes,Holiday,January,2024,Cloudy,35.5
SESS001446,STN0204,Kochi EV Hub,KOCHI,KERALA,highway,CHG00101,DC fast,,150.0,2 Wheeler,Mahindra XUV400,10-04-2024 01:22:27,2024-04-10 02:41:27,79.0,6.55,12.0,Completed,26.3,93.9,67.53,10.31,upi,Individual,no,Holiday,April,2024,,26.6
SESS000618,STN0119,PATNA POWER STATION,Patna,Bihar,Parking,CHG00560,,,150.0,2 Wheeler,Tata Tiago EV,2022-07-04 21:53:50,04/07/2022 22:47,54.0,24.91,0.0,completed,105.0,150.0,461.58,18.53,UPI,,No,Weekday,July,2022,Sunny,24.2
